date,day as a number,Hygiene and safety measure-Protective mask use community-Closed public spaces,Case management and quarantine-Quarantine-For contacts,Case management and quarantine-Contact tracing-Mobile technology,Case management and quarantine-Contact tracing-Not applicable,International travel-Total border closure-Not applicable,International travel-Quarantine for international travellers-Not applicable,International travel-Other-Not applicable,International travel-Border screening-PCR/rapid antigen testing,International travel-Border screening-Temperature screening,Physical distancing-Closure of educational institutions-Secondary School,Physical distancing-Closure of educational institutions-Primary School,Case management and quarantine-Isolation of case-Not applicable,Hygiene and safety measure-Protective mask use community-All public spaces,Hygiene and safety measure-Disinfection disinfestation and deratting DDD-Not applicable,Physical distancing-Public gathering restriction-Ban on all events,Physical distancing-Closure of public spaces-Entertainment venues,Physical distancing-Closure of public spaces-Gyms sports centres,Case management and quarantine-Contact tracing-Other,Physical distancing-Closure of public spaces-Restaurants cafes,Physical distancing-Closure of public spaces-Non essential shops,Physical distancing-Private gathering restriction-Gathering,Physical distancing-Stay at home orders-Not applicable,Internal travel-Travel restrictions-Cordon sanitaire,General-Risk assessment-Not applicable,General-Exemptions to NPIs-Antibodies proof,General-Exemptions to NPIs-Negative test proof,General-Exemptions to NPIs-Vaccination proof,Physical distancing-Closure of educational institutions-Other,International travel-Border screening-Other,Physical distancing-Public gathering restriction-Outdoor over 1000,Physical distancing-Public gathering restriction-Indoor over 500,Internal travel-Other-Not applicable,Physical distancing-Measures for special populations-Visiting restrictions,General-Communication to the public-Not applicable,General-Intersectoral communication-Not applicable,Physical distancing-Workplace measures-Teleworking,Physical distancing-Workplace measures-Other,Physical distancing-Measures for special populations-Stay at home risk groups,Physical distancing-Closure of educational institutions-Daycare nursery,Physical distancing-Closure of educational institutions-Higher Education,Physical distancing-Closure of public transport-Not applicable,Physical distancing-Stay at home recommendations-Not applicable,Physical distancing-Closure of public spaces-Hotels other accommodation,Physical distancing-Workplace measures-Adaptation of workplace,Ensuring treatment capacity-Non COVID related care-Rescheduling non essential care,Internal travel-Travel restrictions-Other,Physical distancing-Measures for special populations-Other,International travel-Travel advice-Not applicable,Physical distancing-Other-Not applicable,General-General other-Not applicable,Physical distancing-Closure of public spaces-Place of worship,Internal travel-Travel advice-Not applicable
2020-03-29,28,0,0,0,2,2,0,0,0,2,2,2,2,0,0,2,2,2,0,1,2,0,2,0,2,0,0,0,0,0,0,0,0,2,0,0,2,2,2,2,2,0,0,0,2,0,2,2,2,0,2,2,2
2020-03-30,29,0,0,0,2,2,0,0,0,2,2,2,2,0,0,2,2,2,0,1,2,0,2,0,2,0,0,0,0,0,0,0,0,2,0,0,2,2,2,2,2,0,0,0,2,0,2,2,2,0,2,2,2
2020-03-31,30,0,0,0,2,2,0,0,0,2,2,2,2,0,0,2,2,2,0,1,2,0,2,0,2,0,0,0,0,0,0,0,0,2,0,0,2,2,2,2,2,0,0,0,2,0,2,2,2,0,2,2,2
2020-04-01,31,0,0,0,2,2,0,0,0,2,2,2,2,0,0,2,2,2,0,1,2,0,2,0,2,0,0,0,0,0,0,0,0,2,0,0,2,2,2,2,2,0,0,0,2,0,2,2,2,0,2,2,2
2020-04-02,32,0,0,0,2,2,0,0,0,2,2,2,2,0,0,2,2,2,0,1,2,0,2,0,2,0,0,0,0,0,0,0,0,2,0,0,2,2,2,2,2,0,0,0,2,0,2,2,2,0,2,2,2
2020-04-03,33,0,0,0,2,2,0,0,0,2,2,2,2,0,0,2,2,2,0,1,2,0,2,0,2,0,0,0,0,0,0,0,0,2,0,0,2,2,2,2,2,0,0,0,2,0,2,2,2,0,2,2,2
2020-04-04,34,0,0,0,2,2,0,0,0,2,2,2,2,0,0,2,2,2,0,1,2,0,2,0,2,0,0,0,0,0,0,0,0,2,0,0,2,2,2,2,2,0,0,0,2,0,2,2,2,0,2,2,2
2020-04-05,35,0,0,0,2,2,0,0,0,2,2,2,2,0,0,2,2,2,0,1,2,0,2,0,2,0,0,0,0,0,0,0,0,2,0,0,2,2,2,2,2,0,0,0,2,0,2,2,2,0,2,2,2
2020-04-06,36,0,0,0,2,2,0,0,0,2,2,2,2,0,0,2,2,2,0,1,2,0,2,0,2,0,0,0,0,0,0,0,0,2,0,0,2,2,2,2,2,0,0,0,2,0,2,2,2,0,2,2,2
2020-04-07,37,0,0,0,2,2,0,0,0,2,2,2,2,0,0,2,2,2,0,1,2,0,2,0,2,0,0,0,0,0,0,0,0,2,0,0,2,2,2,2,2,0,0,0,2,0,2,2,2,0,2,2,2
2020-04-08,38,0,0,0,2,2,0,0,0,2,2,2,2,0,0,2,2,2,0,1,2,0,2,0,2,0,0,0,0,0,0,0,0,2,0,0,2,2,2,2,2,0,0,0,2,0,2,2,2,0,2,2,2
2020-04-09,39,0,0,0,2,2,0,0,0,2,2,2,2,0,0,2,2,2,0,1,2,0,2,0,2,0,0,0,0,0,0,0,0,2,0,0,2,2,2,2,2,0,0,0,2,0,2,2,2,0,2,2,2
2020-04-10,40,0,0,0,2,2,0,0,0,2,2,2,2,0,0,2,2,2,0,1,2,0,2,0,2,0,0,0,0,0,0,0,0,2,0,0,2,2,2,2,2,0,0,0,2,0,2,2,2,0,2,2,2
2020-04-11,41,0,0,0,2,2,0,0,0,2,2,2,2,0,0,2,2,2,0,1,2,0,2,0,2,0,0,0,0,0,0,0,0,2,0,0,2,2,2,2,2,0,0,0,2,0,2,2,2,0,2,2,2
2020-04-12,42,0,0,0,2,2,0,0,0,2,2,2,2,0,0,2,2,2,0,1,2,0,2,0,2,0,0,0,0,0,0,0,0,2,0,0,2,2,2,2,2,0,0,0,2,0,2,2,2,0,2,2,2
2020-04-13,43,0,0,0,2,2,0,0,0,2,2,2,2,0,0,2,2,2,0,1,2,0,2,0,2,0,0,0,0,0,0,0,0,2,0,0,2,2,2,2,2,0,0,0,2,0,2,2,2,0,2,2,2
2020-04-14,44,0,0,0,2,2,0,0,0,2,2,2,2,0,0,2,2,2,0,1,1,0,2,0,2,0,0,0,0,0,0,0,0,2,0,0,2,2,2,2,2,0,0,0,2,0,2,2,2,0,2,2,2
2020-04-15,45,0,0,0,2,2,0,0,0,2,2,2,2,0,0,2,2,2,0,1,1,0,2,0,2,0,0,0,0,0,0,0,0,2,0,0,2,2,2,2,2,0,0,0,2,0,2,2,2,0,2,2,2
2020-04-16,46,0,0,0,2,2,0,0,0,2,2,2,2,0,0,2,2,2,0,1,1,0,2,0,2,0,0,0,0,0,0,0,0,2,0,0,2,2,2,2,2,0,0,0,2,0,2,2,2,0,2,2,2
2020-04-17,47,0,0,0,2,2,0,0,0,2,2,2,2,0,0,2,2,2,0,1,1,0,2,0,2,0,0,0,0,0,0,0,0,2,0,0,2,2,2,2,2,0,0,0,2,0,2,2,2,0,2,2,2
