date,day as a number,Physical distancing-Measures for special populations-Visiting restrictions,Case management and quarantine-Quarantine-For contacts,Case management and quarantine-Isolation of case-Not applicable,Case management and quarantine-Contact tracing-Not applicable,International travel-Travel advice-Not applicable,International travel-Total border closure-Not applicable,International travel-Quarantine for international travellers-Not applicable,International travel-Border screening-PCR/rapid antigen testing,International travel-Ban for certain countries-Not applicable,Physical distancing-Closure of educational institutions-Secondary School,Hygiene and safety measure-Protective mask use community-All public spaces,General-Exemptions to NPIs-Vaccination proof,General-Exemptions to NPIs-Negative test proof,General-Exemptions to NPIs-Antibodies proof,Physical distancing-Public gathering restriction-Ban on all events,Physical distancing-Closure of public spaces-Non essential shops,Physical distancing-Closure of public spaces-Restaurants cafes,Hygiene and safety measure-Protective mask use community-Other,Physical distancing-Closure of public spaces-Gyms sports centres,Physical distancing-Closure of educational institutions-Primary School,Physical distancing-Closure of educational institutions-Other,Physical distancing-Closure of educational institutions-Daycare nursery,Physical distancing-Workplace measures-Teleworking,Hygiene and safety measure-Other-Not applicable,Ensuring treatment capacity-COVID related care-Not applicable,Ensuring treatment capacity-Non COVID related care-Rescheduling non essential care,Ensuring treatment capacity-COVID related care-ICU capacity,General-Activate incident emergency management system-Not applicable,Physical distancing-Public gathering restriction-Outdoor over 500,Physical distancing-Public gathering restriction-Indoor over 500,Physical distancing-Closure of public spaces-Entertainment venues,Physical distancing-Private gathering restriction-Social Circle,Physical distancing-Closure of public spaces-Place of worship,Physical distancing-Stay at home recommendations-Not applicable,Physical distancing-Stay at home orders-Not applicable,Physical distancing-Public gathering restriction-Outdoor over 100,Physical distancing-Public gathering restriction-Outdoor over 50,Physical distancing-Public gathering restriction-Indoor over 1000,Physical distancing-Private gathering restriction-Gathering,Physical distancing-Closure of educational institutions-Higher Education,Internal travel-Travel restrictions-Other,Physical distancing-Public gathering restriction-Indoor over 50,Physical distancing-Public gathering restriction-Other,General-Communication to the public-Not applicable,Ensuring treatment capacity-COVID related care-Other,Ensuring treatment capacity-COVID related care-Increase PPE stocks
2020-05-19,79,1,0,2,2,2,2,0,0,2,2,1,0,0,0,0,1,2,1,1,2,0,2,2,0,0,0,0,2,0,0,2,2,2,2,0,0,0,0,0,2,2,0,0,0,0,0
2020-05-20,80,1,0,2,2,2,2,0,0,2,2,1,0,0,0,0,1,2,1,1,2,0,2,2,0,0,0,0,2,0,0,2,2,2,2,0,0,0,0,0,2,2,0,0,0,0,0
2020-05-21,81,1,0,2,2,2,2,0,0,2,2,1,0,0,0,0,1,2,1,1,2,0,2,2,0,0,0,0,2,0,0,2,2,2,2,0,0,0,0,0,2,2,0,0,0,0,0
2020-05-22,82,1,0,2,2,2,2,0,0,2,2,1,0,0,0,0,1,2,1,1,2,0,2,2,0,0,0,0,2,0,0,2,2,2,2,0,0,0,0,0,2,2,0,0,0,0,0
2020-05-23,83,1,0,2,2,2,2,0,0,2,2,1,0,0,0,0,1,2,1,1,2,0,2,2,0,0,0,0,2,0,0,2,2,2,2,0,0,0,0,0,2,2,0,0,0,0,0
2020-05-24,84,1,0,2,2,2,2,0,0,2,2,1,0,0,0,0,1,2,1,1,2,0,2,2,0,0,0,0,2,0,0,2,2,2,2,0,0,0,0,0,2,2,0,0,0,0,0
2020-05-25,85,1,0,2,2,2,2,0,0,2,2,1,0,0,0,0,1,2,1,1,2,0,2,2,0,0,0,0,2,0,0,2,2,2,2,0,0,0,0,0,2,2,0,0,0,0,0
2020-05-26,86,1,0,2,2,2,2,0,0,2,2,1,0,0,0,0,1,2,1,1,2,0,2,2,0,0,0,0,2,0,0,2,2,2,2,0,0,0,0,0,2,2,0,0,0,0,0
2020-05-27,87,1,0,2,2,2,2,0,0,2,2,1,0,0,0,0,1,2,1,1,2,0,2,2,0,0,0,0,2,0,0,2,2,2,2,0,0,0,0,0,2,2,0,0,0,0,0
2020-05-28,88,1,0,2,2,2,2,0,0,2,2,1,0,0,0,0,1,2,1,1,2,0,2,2,0,0,0,0,2,0,0,2,2,2,2,0,0,0,0,0,2,2,0,0,0,0,0
2020-05-29,89,1,0,2,2,2,2,0,0,2,2,1,0,0,0,0,1,2,1,1,2,0,2,2,0,0,0,0,2,0,0,2,2,2,2,0,0,0,0,0,2,2,0,0,0,0,0
2020-05-30,90,1,0,2,2,2,2,0,0,2,2,1,0,0,0,0,1,2,1,1,2,0,2,2,0,0,0,0,2,0,0,2,2,2,2,0,0,0,0,0,2,2,0,0,0,0,0
2020-05-31,91,1,0,2,2,2,2,0,0,2,2,1,0,0,0,0,1,2,1,1,2,0,2,2,0,0,0,0,2,0,0,2,2,2,2,0,0,0,0,0,2,2,0,0,0,0,0
2020-06-01,92,1,0,2,2,2,2,0,0,2,2,1,0,0,0,0,1,2,1,1,2,0,2,2,0,0,0,0,2,0,0,2,2,2,2,0,0,0,0,0,2,2,0,0,0,0,0
2020-06-02,93,1,0,2,2,2,2,0,0,2,2,1,0,0,0,0,1,2,1,1,2,0,2,2,0,0,0,0,2,0,0,2,2,2,2,0,0,0,0,0,2,2,0,0,0,0,0
2020-06-03,94,2,0,2,2,2,2,0,0,2,2,1,0,0,0,0,1,2,1,1,2,0,0,2,0,0,0,0,2,0,0,2,2,2,2,0,0,0,0,0,2,2,0,0,0,0,0
2020-06-04,95,2,0,2,2,2,2,0,0,2,2,1,0,0,0,0,1,2,1,1,2,0,0,2,0,0,0,0,2,0,0,2,2,2,2,0,0,0,0,0,2,2,0,0,0,0,0
2020-06-05,96,2,0,2,2,2,2,0,0,2,2,1,0,0,0,0,1,2,1,1,2,0,0,2,0,0,0,0,2,0,0,2,2,2,2,0,0,0,0,0,2,2,0,0,0,0,0
