date,day as a number,Hygiene and safety measure-Protective mask use community-All public spaces,Case management and quarantine-Contact tracing-Mobile technology,International travel-Total border closure-Not applicable,International travel-Quarantine for international travellers-Not applicable,International travel-Border screening-PCR/rapid antigen testing,Physical distancing-Measures for special populations-Stay at home risk groups,Physical distancing-Public gathering restriction-Ban on all events,Physical distancing-Closure of public spaces-Entertainment venues,Physical distancing-Closure of public spaces-Gyms sports centres,Physical distancing-Closure of public spaces-Non essential shops,Physical distancing-Private gathering restriction-Gathering,Physical distancing-Measures for special populations-Visiting restrictions,Physical distancing-Closure of educational institutions-Other,Physical distancing-Closure of educational institutions-Primary School,Physical distancing-Closure of educational institutions-Secondary School,Physical distancing-Closure of educational institutions-Daycare nursery,International travel-Travel advice-Not applicable,Physical distancing-Other-Not applicable,International travel-Border screening-Other,Hygiene and safety measure-Disinfection disinfestation and deratting DDD-Not applicable,Hygiene and safety measure-Other-Not applicable,General-Activate incident emergency management system-Not applicable,General-Exemptions to NPIs-Negative test proof,General-Exemptions to NPIs-Antibodies proof,General-Exemptions to NPIs-Vaccination proof,Ensuring treatment capacity-Other-Not applicable,Case management and quarantine-Quarantine-For contacts,Physical distancing-Closure of public spaces-Restaurants cafes,Physical distancing-Public gathering restriction-Indoor over 100,Physical distancing-Public gathering restriction-Outdoor over 500,Physical distancing-Workplace measures-Teleworking,Physical distancing-Workplace measures-Adaptation of workplace,Physical distancing-Closure of public transport-Not applicable,Physical distancing-Public gathering restriction-Outdoor over 100,Physical distancing-Public gathering restriction-Indoor over 50,Physical distancing-Public gathering restriction-Outdoor over 50,Internal travel-Travel restrictions-Other,Case management and quarantine-Isolation of case-Not applicable,International travel-Ban for certain countries-Not applicable,Internal travel-Travel advice-Not applicable,General-Communication to the public-Not applicable,General-Intersectoral communication-Not applicable,General-Risk assessment-Not applicable,General-Communication to healthcare services-Not applicable,Physical distancing-Stay at home orders-Not applicable,Physical distancing-Closure of educational institutions-Higher Education,Hygiene and safety measure-Protective mask use community-Closed public spaces,International travel-Other-Not applicable
2020-04-25,55,0,0,2,0,0,2,2,1,2,1,2,0,0,2,2,2,2,0,0,0,0,0,0,0,0,0,2,2,0,0,2,0,2,0,0,0,2,2,1,2,0,0,0,0,2,2,2,2
2020-04-26,56,0,0,2,0,0,2,2,1,2,1,2,0,0,2,2,2,2,0,0,0,0,0,0,0,0,0,2,2,0,0,2,0,2,0,0,0,2,2,1,2,0,0,0,0,2,2,2,2
2020-04-27,57,0,0,2,0,0,2,2,1,2,1,2,0,0,2,2,2,2,0,0,0,0,0,0,0,0,0,2,2,0,0,2,0,2,0,0,0,2,2,1,2,0,0,0,0,2,2,2,2
2020-04-28,58,0,0,2,0,0,2,2,1,2,1,2,0,0,2,2,2,2,0,0,0,0,0,0,0,0,0,2,2,0,0,2,0,0,0,0,0,2,2,1,2,0,0,0,0,2,2,2,2
2020-04-29,59,0,0,2,0,0,2,2,1,2,1,2,0,0,2,2,2,2,0,0,0,0,0,0,0,0,0,2,2,0,0,2,0,0,0,0,0,2,2,1,2,0,0,0,0,2,2,2,2
2020-04-30,60,0,0,2,0,0,2,2,1,2,1,2,0,0,2,2,2,2,0,0,0,0,0,0,0,0,0,2,2,0,0,2,0,0,0,0,0,2,2,1,2,0,0,0,0,2,2,2,2
2020-05-01,61,0,0,2,0,0,2,2,1,2,1,2,0,0,2,2,2,2,0,0,0,0,0,0,0,0,0,2,2,0,0,2,0,0,0,0,0,2,2,1,2,0,0,0,0,2,2,2,2
2020-05-02,62,0,0,2,0,0,2,2,1,2,1,2,0,0,2,2,2,2,0,0,0,0,0,0,0,0,0,2,2,0,0,2,0,0,0,0,0,2,2,1,2,0,0,0,0,2,2,2,2
2020-05-03,63,0,0,2,0,0,2,2,1,2,1,2,0,0,2,2,2,2,0,0,0,0,0,0,0,0,0,2,2,0,0,2,0,0,0,0,0,2,2,1,2,0,0,0,0,2,2,2,2
2020-05-04,64,0,0,2,0,0,2,2,1,2,1,2,0,0,2,2,2,2,0,0,0,0,0,0,0,0,0,2,2,0,0,2,0,0,0,0,0,2,2,1,2,0,0,0,0,2,2,2,2
