date,day as a number,Physical distancing-Measures for special populations-Other,Case management and quarantine-Quarantine-For contacts,Case management and quarantine-Isolation of case-Not applicable,Case management and quarantine-Contact tracing-Other,International travel-Total border closure-Not applicable,International travel-Quarantine for international travellers-Not applicable,International travel-Border screening-PCR/rapid antigen testing,International travel-Case reporting aboard conveyances-Not applicable,Physical distancing-Closure of educational institutions-Secondary School,Hygiene and safety measure-Protective mask use community-Closed public spaces,Physical distancing-Public gathering restriction-Ban on all events,Physical distancing-Public gathering restriction-Indoor over 100,Physical distancing-Public gathering restriction-Outdoor over 1000,Physical distancing-Closure of public spaces-Entertainment venues,Physical distancing-Closure of public spaces-Gyms sports centres,Physical distancing-Closure of public spaces-Restaurants cafes,Physical distancing-Closure of public spaces-Non essential shops,Physical distancing-Closure of educational institutions-Primary School,Physical distancing-Closure of educational institutions-Daycare nursery,Physical distancing-Stay at home orders-Not applicable,Internal travel-Travel restrictions-Other,Internal travel-Travel restrictions-Cordon sanitaire,General-Exemptions to NPIs-Vaccination proof,Physical distancing-Closure of public transport-Not applicable,Physical distancing-Private gathering restriction-Gathering,Physical distancing-Closure of public spaces-Place of worship,Ensuring treatment capacity-COVID related care-Other,Physical distancing-Workplace measures-Teleworking,Physical distancing-Public gathering restriction-Other,Physical distancing-Measures for special populations-Visiting restrictions,Physical distancing-Workplace measures-Adaptation of workplace,Physical distancing-Measures for special populations-Stay at home risk groups,Physical distancing-Stay at home recommendations-Not applicable,Physical distancing-Closure of public spaces-Hotels other accommodation,Physical distancing-Closure of educational institutions-Higher Education,Physical distancing-Private gathering restriction-Social Circle,Physical distancing-Closure of educational institutions-Other,Hygiene and safety measure-Protective mask use community-Other,Hygiene and safety measure-Protective mask use community-All public spaces,Case management and quarantine-Contact tracing-Mobile technology,Hygiene and safety measure-Other-Not applicable,Physical distancing-Public gathering restriction-Outdoor over 500,General-Activate incident emergency management system-Not applicable,Physical distancing-Public gathering restriction-Indoor over 1000,Physical distancing-Public gathering restriction-Not applicable,Physical distancing-Public gathering restriction-Indoor over 500,Physical distancing-Public gathering restriction-Outdoor over 100,Physical distancing-Public gathering restriction-Indoor over 50,General-General other-Not applicable,General-Communication to the public-Not applicable,General-Intersectoral communication-Not applicable,General-Risk assessment-Not applicable,Internal travel-Quarantine for internal travellers-Not applicable,Physical distancing-Public gathering restriction-Outdoor over 50
2020-06-08,99,0,2,2,2,2,2,0,2,2,0,0,1,1,1,1,1,1,2,2,1,0,2,0,1,2,1,2,1,0,1,0,0,0,1,2,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
2020-06-09,100,0,2,2,2,2,2,0,2,2,0,0,1,1,1,1,1,1,2,2,1,0,2,0,1,2,1,2,1,0,1,0,0,0,1,2,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
2020-06-10,101,0,2,2,2,2,2,0,2,2,0,0,1,1,1,1,1,1,2,2,1,0,2,0,1,2,1,2,1,0,1,0,0,0,1,2,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
2020-06-11,102,0,2,2,2,2,2,0,2,2,0,0,1,1,1,1,1,1,2,2,1,0,2,0,1,2,1,2,1,0,1,0,0,0,1,2,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
2020-06-12,103,0,2,2,2,2,2,0,2,2,0,0,1,1,1,1,1,1,2,2,1,0,2,0,1,2,1,2,1,0,1,0,0,0,1,2,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
2020-06-13,104,0,2,2,2,2,2,0,2,2,0,0,1,1,1,1,1,1,2,2,1,0,2,0,1,2,1,2,1,0,1,0,0,0,1,2,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
2020-06-14,105,0,2,2,2,2,2,0,2,2,0,0,1,1,1,1,1,1,2,2,1,0,2,0,1,2,1,2,1,0,1,0,0,0,1,2,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
2020-06-15,106,0,2,2,2,2,2,0,2,2,0,0,1,1,1,1,1,1,2,2,1,0,2,0,1,2,1,2,1,0,1,0,0,0,1,2,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
2020-06-16,107,0,2,2,2,2,2,0,2,2,0,0,1,1,1,1,1,1,2,2,1,0,2,0,1,2,1,2,1,0,1,0,0,0,1,2,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
2020-06-17,108,0,2,2,2,2,2,0,2,2,0,0,1,1,1,1,1,1,2,2,1,0,2,0,1,2,1,2,1,0,1,0,0,0,1,2,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
2020-06-18,109,0,2,2,2,2,2,0,2,2,0,0,1,1,1,1,1,1,2,2,1,0,2,0,1,2,1,2,1,0,1,0,0,0,1,2,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
2020-06-19,110,0,2,2,2,2,2,0,2,2,0,0,1,1,1,1,1,1,2,2,1,0,2,0,1,2,1,2,1,0,1,0,0,0,1,2,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
2020-06-20,111,0,2,2,2,2,2,0,2,2,0,0,1,1,1,1,1,1,2,2,1,0,2,0,1,2,1,2,1,0,1,0,0,0,1,2,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
2020-06-21,112,0,2,2,2,2,2,0,2,2,0,0,1,1,1,1,1,1,2,2,1,0,0,0,1,2,1,2,1,0,0,0,0,0,1,2,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
2020-06-22,113,1,2,2,2,2,2,0,2,2,0,0,1,1,0,0,0,0,2,2,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-23,114,1,2,2,2,2,2,0,2,2,0,0,1,1,0,0,0,0,2,2,0,0,0,0,1,1,0,2,1,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-24,115,1,2,2,2,2,2,0,2,2,0,0,1,1,0,0,0,0,2,2,0,0,0,0,1,1,0,2,1,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-25,116,1,2,2,2,2,2,0,2,2,0,0,1,1,0,0,0,0,2,2,0,0,0,0,1,1,0,2,1,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-26,117,1,2,2,2,2,2,0,2,2,0,0,1,1,0,0,0,0,2,2,0,0,0,0,1,1,0,2,1,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-27,118,1,2,2,2,2,2,0,2,2,0,0,1,1,0,0,0,0,2,2,0,0,0,0,1,1,0,2,1,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-28,119,1,2,2,2,2,2,0,2,2,0,0,1,1,0,0,0,0,2,2,0,0,0,0,1,1,0,2,1,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-29,120,1,2,2,2,2,2,0,2,2,0,0,1,1,0,0,0,0,2,2,0,0,0,0,1,1,0,2,1,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-30,121,1,2,2,2,2,2,0,2,2,0,0,1,1,0,0,0,0,2,2,0,0,0,0,1,1,0,2,1,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-01,122,1,2,2,2,2,2,0,2,2,0,0,1,1,0,0,0,0,2,2,0,0,0,0,1,1,0,2,1,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-02,123,1,2,2,2,2,2,0,2,2,0,0,1,1,0,0,0,0,2,2,0,0,0,0,1,1,0,2,1,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-03,124,1,2,2,2,2,2,0,2,2,0,0,1,1,0,0,0,0,2,2,0,0,0,0,1,1,0,2,1,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-04,125,1,2,2,2,2,2,0,2,2,0,0,1,1,0,0,0,0,2,2,0,0,2,0,1,1,0,2,1,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-05,126,1,2,2,2,2,2,0,2,2,0,0,1,1,0,0,0,0,2,2,0,0,2,0,1,1,0,2,1,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-06,127,1,2,2,2,2,2,0,2,2,0,0,1,1,0,0,0,0,2,2,0,0,2,0,1,1,0,2,1,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-07,128,1,2,2,2,2,2,0,2,2,0,0,1,1,0,0,0,0,2,2,0,0,2,0,1,1,0,2,1,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-08,129,1,2,2,2,2,2,0,2,2,0,0,1,1,0,0,0,0,2,2,0,0,2,0,1,1,0,2,1,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-09,130,1,2,2,2,2,2,0,2,2,0,0,1,1,0,0,0,0,2,2,0,0,2,0,1,1,0,2,1,0,0,0,0,0,0,2,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-10,131,1,2,2,2,2,2,0,2,2,0,0,1,1,0,0,0,0,2,2,0,0,2,0,1,1,0,2,1,0,0,0,0,0,0,2,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-11,132,1,2,2,2,2,2,0,2,2,0,0,1,1,0,0,0,0,2,2,0,0,2,0,1,1,0,2,1,0,0,0,0,0,0,2,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-12,133,1,2,2,2,2,2,0,2,2,0,0,1,1,0,0,0,0,2,2,0,0,2,0,1,1,0,2,1,0,0,0,0,0,0,2,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-13,134,1,2,2,2,2,2,0,2,2,0,0,1,1,0,0,0,0,2,2,0,0,2,0,1,1,0,2,1,0,0,0,0,0,0,2,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-14,135,1,2,2,2,2,2,0,2,2,0,0,1,1,0,0,0,0,2,2,0,0,2,0,1,1,0,2,1,0,0,0,0,0,0,2,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-15,136,1,2,2,2,2,2,0,2,2,0,0,1,1,0,0,0,0,2,2,0,0,2,0,1,1,0,2,1,0,0,0,0,0,0,2,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-16,137,1,2,2,2,2,2,0,2,2,0,0,1,1,0,0,0,0,2,2,0,0,2,0,1,1,0,2,1,0,0,0,0,0,0,2,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-17,138,1,2,2,2,2,2,0,2,2,0,0,1,1,2,0,0,0,2,2,0,0,2,0,1,1,0,2,1,0,0,0,0,2,0,2,0,1,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2
2020-07-18,139,1,2,2,2,2,2,0,2,2,0,0,1,1,2,0,0,0,2,2,0,0,2,0,1,1,0,2,1,0,0,0,0,2,0,2,0,1,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2
2020-07-19,140,1,2,2,2,2,2,0,2,2,0,0,1,1,2,0,0,0,2,2,0,0,2,0,1,1,0,2,1,0,0,0,0,2,0,2,0,1,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2
2020-07-20,141,1,2,2,2,2,2,0,2,2,0,0,1,1,2,0,0,0,2,2,0,0,2,0,1,1,0,2,1,0,0,0,0,2,0,2,0,1,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2
2020-07-21,142,1,2,2,2,2,2,0,2,2,0,0,1,1,2,0,0,0,2,2,0,0,2,0,1,1,0,2,1,0,0,0,0,2,0,2,0,1,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2
2020-07-22,143,1,2,2,2,2,2,0,2,2,0,0,1,1,2,0,0,0,2,2,0,0,2,0,1,1,0,2,1,0,0,0,0,2,0,2,0,1,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2
2020-07-23,144,1,2,2,2,2,2,0,2,2,0,0,1,1,2,0,0,0,2,2,0,0,2,0,1,1,0,2,1,0,0,0,0,2,0,2,0,1,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2
2020-07-24,145,1,2,2,2,2,2,0,2,2,0,0,1,1,2,0,0,0,2,2,0,0,2,0,1,1,0,2,1,0,0,0,0,2,0,2,0,1,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2
2020-07-25,146,1,2,2,2,2,2,0,2,2,0,0,1,1,2,0,0,0,2,2,0,0,2,0,1,1,0,2,1,0,0,0,0,2,0,2,0,1,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2
2020-07-26,147,1,2,2,2,2,2,0,2,2,0,0,1,1,2,0,0,0,2,2,0,0,2,0,1,1,0,2,1,0,0,0,0,2,0,2,0,1,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2
2020-07-27,148,1,2,2,2,2,2,0,2,2,0,0,1,1,2,0,0,0,2,2,0,0,2,0,1,1,0,2,1,0,0,0,0,2,0,2,0,1,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2
2020-07-28,149,1,2,2,2,2,2,0,2,2,0,0,1,1,2,0,0,0,2,2,0,0,2,0,1,1,0,2,1,0,0,0,0,2,0,2,0,1,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2
2020-07-29,150,1,2,2,2,2,2,0,2,2,0,0,1,1,2,0,0,0,2,2,0,0,2,0,1,1,0,2,1,0,0,0,0,2,0,2,0,1,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2
2020-07-30,151,1,2,2,2,2,2,0,2,2,0,0,1,1,2,0,0,0,2,2,0,0,2,0,1,1,0,2,1,0,0,0,0,2,0,2,0,1,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2
2020-07-31,152,1,2,2,2,2,2,0,2,2,0,0,1,1,2,0,0,0,2,2,0,0,2,0,1,1,0,2,1,0,0,0,0,2,0,2,0,1,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2
2020-08-01,153,1,2,2,2,2,2,0,2,2,0,0,1,1,2,0,0,0,2,2,0,0,2,0,1,1,0,2,1,0,0,0,0,2,0,2,0,1,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2
2020-08-02,154,1,2,2,2,2,2,0,2,2,0,0,1,1,2,0,0,0,2,2,0,0,2,0,1,1,0,2,1,0,0,0,0,2,0,2,0,1,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2
2020-08-03,155,1,2,2,2,2,2,0,2,2,0,0,1,1,2,0,0,0,2,2,0,0,2,0,1,1,0,2,1,0,0,0,0,2,0,2,0,1,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2
2020-08-04,156,1,2,2,2,2,2,0,2,2,0,0,1,1,2,0,0,0,2,2,0,0,2,0,1,1,0,2,1,0,0,0,0,2,0,2,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2
2020-08-05,157,1,2,2,2,2,2,0,2,2,0,0,1,1,2,0,0,0,2,2,0,0,2,0,1,1,0,2,1,0,0,0,0,2,0,2,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2
2020-08-06,158,1,2,2,2,2,2,0,2,2,0,0,1,1,2,0,0,0,2,2,0,0,2,0,1,1,0,2,1,0,0,0,0,2,0,2,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2
2020-08-07,159,1,2,2,2,2,2,0,2,2,0,0,1,1,2,0,0,0,2,2,0,0,2,0,1,1,0,2,1,0,0,0,0,2,0,2,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2
2020-08-08,160,1,2,2,2,2,2,0,2,2,0,0,1,1,2,0,0,0,2,2,0,0,2,0,1,1,0,2,1,0,0,0,0,2,0,2,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2
2020-08-09,161,1,2,2,2,2,2,0,2,2,0,0,1,1,2,0,0,0,2,2,0,0,2,0,1,1,0,2,1,0,0,0,0,2,0,2,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2
2020-08-10,162,1,2,2,2,2,2,0,2,2,0,0,1,1,2,0,0,0,2,2,0,0,2,0,1,1,0,2,1,0,0,0,0,2,0,2,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2
2020-08-11,163,1,2,2,2,2,2,0,2,2,0,0,1,1,2,0,0,0,2,2,0,0,2,0,1,1,0,2,1,0,0,0,0,2,0,2,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2
2020-08-12,164,1,2,2,2,2,2,0,2,2,0,0,1,1,2,0,0,0,2,2,0,0,2,0,1,1,0,2,1,0,0,0,0,2,0,2,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2
2020-08-13,165,1,2,2,2,2,2,0,2,2,0,0,1,1,2,0,0,0,2,2,0,0,2,0,1,1,0,2,1,0,0,0,0,2,0,2,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2
2020-08-14,166,1,2,2,2,2,2,0,2,2,0,0,1,1,2,0,1,0,2,2,0,0,2,0,1,1,0,2,1,0,0,0,0,2,0,2,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2
2020-08-15,167,1,2,2,2,2,2,0,2,2,0,0,1,1,2,0,1,0,2,2,0,0,2,0,1,1,0,2,1,0,0,0,0,2,0,2,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2
2020-08-16,168,1,2,2,2,2,2,0,2,2,0,0,1,1,2,0,1,0,2,2,0,0,2,0,1,1,0,2,1,0,0,0,0,2,0,2,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2
2020-08-17,169,1,2,2,2,2,2,0,2,2,0,0,1,1,2,0,1,0,2,2,0,0,2,0,1,1,0,2,1,0,0,0,0,2,0,2,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2
2020-08-18,170,1,2,2,2,2,2,0,2,2,0,0,1,1,2,0,1,0,2,2,0,0,2,0,1,2,0,2,1,0,0,0,0,2,0,2,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2
2020-08-19,171,1,2,2,2,2,2,0,2,2,0,0,1,1,2,0,1,0,2,2,0,0,2,0,1,2,0,2,1,0,0,0,0,2,0,2,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2
2020-08-20,172,1,2,2,2,2,2,0,2,2,0,0,1,1,2,0,1,0,2,2,0,0,2,0,1,2,0,2,1,0,0,0,0,2,0,2,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2
2020-08-21,173,1,2,2,2,2,2,0,2,2,0,0,1,1,2,0,1,0,2,2,0,0,2,0,1,2,0,2,1,0,0,0,0,2,0,2,0,1,0,1,2,0,0,0,0,0,0,0,2,0,0,0,0,0,2
2020-08-22,174,1,2,2,2,2,2,0,2,2,0,0,1,1,2,0,1,0,2,2,0,0,2,0,1,2,0,2,1,0,0,0,0,2,0,2,0,1,0,1,2,0,0,0,0,0,0,0,2,0,0,0,0,0,2
2020-08-23,175,1,2,2,2,2,2,0,2,2,0,0,1,1,2,0,1,0,2,2,0,0,2,0,1,2,0,2,1,0,0,0,0,2,0,2,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2
2020-08-24,176,1,2,2,2,2,2,0,2,2,0,0,1,1,2,0,1,0,2,2,0,0,2,0,1,2,0,2,1,0,0,0,0,2,0,2,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2
2020-08-25,177,1,2,2,2,2,2,0,2,2,0,0,1,1,2,0,1,0,2,2,0,0,2,0,1,2,0,2,1,0,0,0,0,2,0,2,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2
2020-08-26,178,1,2,2,2,2,2,0,2,2,0,0,1,1,2,0,1,0,2,2,0,0,2,0,1,2,0,2,1,0,0,0,0,2,0,2,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2
2020-08-27,179,1,2,2,2,2,2,0,2,2,0,0,1,1,2,0,1,0,2,2,0,0,2,0,1,2,0,2,1,0,0,0,0,2,0,2,1,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2
2020-08-28,180,1,2,2,2,2,2,0,2,0,0,0,1,1,2,0,1,0,0,0,0,0,2,0,1,2,0,2,1,0,0,0,0,2,0,0,1,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2
2020-08-29,181,1,2,2,2,2,2,0,2,0,0,0,1,1,2,0,1,0,0,0,0,0,2,0,1,2,0,2,1,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2
2020-08-30,182,1,2,2,2,2,2,0,2,0,0,0,1,1,2,0,1,0,0,0,0,0,2,0,1,2,0,2,1,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2
2020-08-31,183,1,2,2,2,2,2,0,2,0,0,0,1,1,2,0,1,0,0,0,0,0,2,0,1,2,0,2,1,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2
2020-09-01,184,1,2,2,2,2,2,0,2,0,0,0,1,1,2,0,1,0,0,0,0,0,2,0,1,2,0,2,1,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2
2020-09-02,185,1,2,2,2,2,2,0,2,0,0,0,1,1,2,0,1,0,0,0,0,0,2,0,1,2,0,2,1,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2
2020-09-03,186,1,2,2,2,2,2,0,2,0,0,0,1,1,2,0,1,0,0,0,0,0,2,0,1,2,0,2,1,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2
2020-09-04,187,1,2,2,2,2,2,0,2,0,0,0,1,1,2,0,1,0,0,0,0,0,2,0,1,2,0,2,1,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2
2020-09-05,188,1,2,2,2,2,2,0,2,0,0,0,1,1,2,0,1,0,0,0,0,0,2,0,1,2,0,2,1,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2
2020-09-06,189,1,2,2,2,2,2,0,2,0,0,0,1,1,2,0,1,0,0,0,0,0,2,0,1,2,0,2,1,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2
2020-09-07,190,1,2,2,2,2,2,0,2,0,0,0,1,1,2,0,1,0,0,0,0,0,2,0,1,2,0,2,1,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2
2020-09-08,191,1,2,2,2,2,2,0,2,0,0,0,1,1,2,0,1,0,0,0,0,0,2,0,1,2,0,2,1,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2
2020-09-09,192,1,2,2,2,2,2,0,2,0,0,0,1,1,2,0,1,0,0,0,0,0,2,0,1,2,0,2,1,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2
2020-09-10,193,1,2,2,2,2,2,0,2,0,0,0,1,1,2,0,1,0,0,0,0,0,2,0,1,2,0,2,1,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2
2020-09-11,194,1,2,2,2,2,2,0,2,0,0,0,1,1,2,0,1,0,0,0,0,0,2,0,1,2,0,2,1,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2
2020-09-12,195,1,2,2,2,2,2,0,2,0,0,0,1,1,2,0,1,0,0,0,0,0,2,0,1,2,0,2,1,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2
2020-09-13,196,1,2,2,2,2,2,0,2,0,0,0,1,1,2,0,1,0,0,0,0,0,2,0,1,2,0,2,1,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2
2020-09-14,197,1,2,2,2,2,2,0,2,0,0,0,1,1,2,0,1,0,0,0,0,0,2,0,1,2,0,2,1,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2
2020-09-15,198,1,2,2,2,2,2,0,2,0,0,0,1,1,2,0,1,0,0,0,0,0,2,0,1,2,0,2,1,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2
2020-09-16,199,1,2,2,2,2,2,0,2,0,0,0,1,1,2,0,1,0,0,0,0,0,2,0,1,2,0,2,1,0,0,0,0,2,0,0,0,1,0,1,2,0,0,0,0,0,0,0,2,0,0,0,0,0,2
2020-09-17,200,1,2,2,2,2,2,0,2,0,0,0,1,1,2,0,1,0,0,0,0,0,2,0,1,2,0,2,1,0,0,0,0,2,0,0,0,1,0,1,2,0,0,0,0,0,0,0,2,0,0,0,0,0,2
2020-09-18,201,1,2,2,2,2,2,0,2,0,0,0,1,1,2,0,1,0,0,0,0,0,2,0,1,2,0,2,1,0,0,0,0,2,0,0,0,1,0,1,2,0,0,0,0,0,0,0,2,0,0,0,0,0,2
2020-09-19,202,1,2,2,2,2,2,0,2,0,0,0,1,1,2,0,1,0,0,0,0,0,2,0,1,2,0,2,1,0,0,0,0,2,0,0,0,1,0,1,2,0,0,0,0,0,0,0,2,0,0,0,0,0,2
2020-09-20,203,1,2,2,2,2,2,0,2,0,0,0,1,1,2,0,1,0,0,0,0,0,2,0,1,2,0,2,1,0,0,0,0,2,0,0,0,1,0,1,2,0,0,0,0,0,0,0,2,0,0,0,0,0,2
2020-09-21,204,1,2,2,2,2,2,0,2,0,0,0,1,1,2,0,1,0,0,0,0,0,2,0,1,2,0,2,1,0,0,0,0,2,0,0,0,1,0,1,2,0,0,0,0,0,0,0,2,0,0,0,0,0,2
2020-09-22,205,1,2,2,2,2,2,0,2,0,0,0,1,1,2,0,1,0,0,0,0,0,2,0,1,2,0,2,1,0,0,0,0,2,0,0,0,1,0,1,2,0,0,0,0,0,0,0,2,0,0,0,0,0,2
2020-09-23,206,1,2,2,2,2,2,0,2,0,0,0,1,1,2,0,1,0,0,0,0,0,2,0,1,2,0,2,1,0,0,0,0,2,0,0,0,1,0,1,2,0,0,0,0,0,0,0,2,0,0,0,0,0,2
2020-09-24,207,1,2,2,2,2,2,0,2,0,0,0,1,1,2,0,1,0,0,0,0,0,2,0,1,2,0,2,1,0,0,0,0,2,0,0,0,1,0,1,2,0,0,0,0,0,0,0,2,0,0,0,0,0,2
